ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,CIBIL_Score,Age,Debt_to_Income,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y
5849,0.0,146.41216216216216,360.0,1.0,851,39,0.0250319990019083,True,False,False,False,False,False,False,False,True,True
4583,1508.0,128.0,360.0,1.0,492,27,0.0279293039493781,True,True,True,False,False,False,False,False,False,False
3000,0.0,66.0,360.0,1.0,330,49,0.022,True,True,False,False,False,False,True,False,True,True
2583,2358.0,120.0,360.0,1.0,425,34,0.0464576074332171,True,True,False,False,False,True,False,False,True,True
6000,0.0,141.0,360.0,1.0,555,29,0.0235,True,False,False,False,False,False,False,False,True,True
5417,4196.0,267.0,360.0,1.0,814,27,0.0492892745061842,True,True,False,True,False,False,True,False,True,True
2333,1516.0,95.0,360.0,1.0,367,49,0.0407201028718388,True,True,False,False,False,True,False,False,True,True
3036,2504.0,158.0,360.0,0.0,849,25,0.0520421607378129,True,True,False,False,True,False,False,True,False,False
4006,1526.0,168.0,360.0,1.0,378,28,0.0419370943584623,True,True,False,True,False,False,False,False,True,True
12841,10968.0,349.0,360.0,1.0,889,53,0.0271785686473016,True,True,True,False,False,False,False,True,False,False
3200,700.0,70.0,360.0,1.0,434,27,0.021875,True,True,False,True,False,False,False,False,True,True
2500,1840.0,109.0,360.0,1.0,393,53,0.0436,True,True,False,True,False,False,False,False,True,True
3073,8106.0,200.0,360.0,1.0,591,56,0.0650829808005206,True,True,False,True,False,False,False,False,True,True
1853,2840.0,114.0,360.0,1.0,898,37,0.0615218564490016,True,False,False,False,False,False,False,False,False,False
1299,1086.0,17.0,120.0,1.0,333,56,0.0130869899923017,True,True,False,True,False,False,False,False,True,True
4950,0.0,125.0,360.0,1.0,373,45,0.0252525252525252,True,False,False,False,False,False,False,False,True,True
3596,0.0,100.0,240.0,1.0,558,52,0.0278086763070077,True,False,True,False,False,True,False,False,True,True
3510,0.0,76.0,360.0,0.0,835,40,0.0216524216524216,False,False,False,False,False,False,False,False,True,False
4887,0.0,133.0,360.0,1.0,767,57,0.0272150603642316,True,True,False,False,False,True,False,False,False,False
2600,3500.0,115.0,360.0,1.0,489,52,0.0442307692307692,True,True,False,False,False,False,False,False,True,True
7660,0.0,104.0,360.0,0.0,859,42,0.0135770234986945,True,True,False,False,False,True,False,False,True,False
5955,5625.0,315.0,360.0,1.0,645,23,0.052896725440806,True,True,True,False,False,False,False,False,True,True
2600,1911.0,116.0,360.0,0.0,843,58,0.0446153846153846,True,True,False,False,False,True,False,True,False,False
3365,1917.0,112.0,360.0,0.0,397,33,0.0332838038632986,True,True,False,True,False,True,False,False,False,False
3717,2925.0,151.0,360.0,1.0,529,23,0.040624159268227,True,True,True,False,False,False,False,True,False,False
9560,0.0,191.0,360.0,1.0,830,27,0.0199790794979079,True,True,False,False,False,False,True,True,False,True
2799,2253.0,122.0,360.0,1.0,567,45,0.0435869953554841,True,True,False,False,False,False,False,True,False,True
4226,1040.0,110.0,360.0,1.0,890,27,0.0260293421675343,True,True,False,True,False,True,False,False,True,True
1442,0.0,35.0,360.0,1.0,630,33,0.0242718446601941,True,False,False,False,False,True,False,False,True,False
3750,2083.0,120.0,360.0,1.0,321,57,0.032,False,False,False,True,False,False,False,True,False,True
4166,3369.0,201.0,360.0,1.0,601,26,0.0482477196351416,True,True,True,False,False,False,False,False,True,False
3167,0.0,74.0,360.0,1.0,877,56,0.0233659614777391,True,False,False,False,False,False,False,False,True,False
4692,0.0,106.0,360.0,1.0,414,22,0.0225916453537936,True,False,True,False,False,False,True,False,False,False
3500,1667.0,114.0,360.0,1.0,540,24,0.0325714285714285,True,True,False,False,False,False,False,True,False,True
12500,3000.0,320.0,360.0,1.0,796,26,0.0256,True,False,False,False,True,False,False,False,False,False
2275,2067.0,146.41216216216216,360.0,1.0,816,41,0.0643569943569943,True,True,False,False,False,False,False,False,True,True
1828,1330.0,100.0,360.0,0.0,817,21,0.0547045951859956,True,True,False,False,False,False,False,False,True,False
3667,1459.0,144.0,360.0,1.0,715,59,0.0392691573493318,False,True,False,False,False,False,False,True,False,True
4166,7210.0,184.0,360.0,1.0,670,22,0.0441670667306769,True,False,False,False,False,False,False,False,True,True
3748,1668.0,110.0,360.0,1.0,891,34,0.0293489861259338,True,False,False,False,False,True,False,True,False,True
3600,0.0,80.0,360.0,1.0,807,30,0.0222222222222222,True,False,False,False,False,False,False,False,True,False
1800,1213.0,47.0,360.0,1.0,851,40,0.0261111111111111,True,False,False,False,False,False,False,False,True,True
2400,0.0,75.0,360.0,1.0,725,56,0.03125,True,True,False,False,False,False,False,False,True,True
3941,2336.0,134.0,360.0,1.0,899,59,0.0340015224562293,True,True,False,False,False,False,False,True,False,True
4695,0.0,96.0,360.0,1.0,796,48,0.0204472843450479,True,True,False,False,False,True,True,False,True,True
3410,0.0,88.0,360.0,1.0,471,43,0.0258064516129032,False,False,False,False,False,False,False,False,True,True
5649,0.0,44.0,360.0,1.0,829,24,0.0077889892016286,True,True,True,False,False,False,False,False,True,True
5821,0.0,144.0,360.0,1.0,373,27,0.0247380175227624,True,True,False,False,False,False,False,False,True,True
2645,3440.0,120.0,360.0,0.0,895,56,0.0453686200378071,False,True,False,False,False,False,False,False,True,False
4000,2275.0,144.0,360.0,1.0,339,48,0.036,False,False,False,False,False,False,False,True,False,True
1928,1644.0,100.0,360.0,1.0,785,40,0.0518672199170124,False,True,False,False,False,True,False,True,False,True
3086,0.0,120.0,360.0,1.0,315,53,0.0388852883992222,False,False,False,False,False,False,False,True,False,True
4230,0.0,112.0,360.0,1.0,373,53,0.0264775413711583,False,False,False,False,False,False,False,True,False,False
4616,0.0,134.0,360.0,1.0,790,49,0.0290294627383015,True,True,False,True,False,False,False,False,True,False
11500,0.0,286.0,360.0,0.0,555,36,0.0248695652173913,False,True,True,False,False,False,True,False,True,False
2708,1167.0,97.0,360.0,1.0,406,51,0.0358197932053175,True,True,False,True,False,False,False,True,False,True
2132,1591.0,96.0,360.0,1.0,603,41,0.0450281425891182,True,True,False,False,False,False,False,True,False,True
3366,2200.0,135.0,360.0,1.0,807,58,0.0401069518716577,True,True,False,False,False,False,False,False,False,False
8080,2250.0,180.0,360.0,1.0,478,29,0.0222772277227722,True,True,True,False,False,False,False,False,True,True
3357,2859.0,144.0,360.0,1.0,435,26,0.0428954423592493,True,True,False,True,False,True,False,False,True,True
2500,3796.0,120.0,360.0,1.0,687,30,0.048,True,True,False,False,False,False,False,False,True,True
3029,0.0,99.0,360.0,1.0,306,57,0.0326840541432816,True,True,False,False,True,False,False,False,True,True
2609,3449.0,165.0,180.0,0.0,602,28,0.0632426216941356,True,True,False,False,False,True,True,False,False,False
4945,0.0,146.41216216216216,360.0,0.0,462,48,0.0296081217719235,True,True,True,False,False,False,False,False,False,False
4166,0.0,116.0,360.0,0.0,750,36,0.027844455112818,False,False,False,False,False,False,False,True,False,False
5726,4595.0,258.0,360.0,1.0,863,35,0.0450576318546978,True,True,False,False,False,False,False,True,False,False
3200,2254.0,126.0,180.0,0.0,854,34,0.039375,True,False,False,False,False,True,False,False,True,False
10750,0.0,312.0,360.0,1.0,468,34,0.0290232558139534,True,True,True,False,False,False,False,False,True,True
7100,0.0,125.0,60.0,1.0,822,44,0.0176056338028169,True,True,False,False,True,True,True,False,True,True
4300,0.0,136.0,360.0,0.0,494,43,0.0316279069767441,False,False,False,False,False,False,False,True,False,False
3208,3066.0,172.0,360.0,1.0,782,57,0.0536159600997506,True,True,False,False,False,False,False,False,True,True
1875,1875.0,97.0,360.0,1.0,665,51,0.0517333333333333,True,True,False,True,False,True,True,True,False,True
3500,0.0,81.0,300.0,1.0,356,30,0.0231428571428571,True,False,False,False,False,False,False,True,False,True
4755,0.0,95.0,360.0,0.0,443,24,0.0199789695057833,True,True,False,False,True,True,False,True,False,False
5266,1774.0,187.0,360.0,1.0,820,39,0.0355108241549563,True,True,False,False,True,False,True,True,False,True
3750,0.0,113.0,480.0,1.0,623,47,0.0301333333333333,True,False,False,False,False,False,False,False,True,False
3750,4750.0,176.0,360.0,1.0,809,52,0.0469333333333333,True,False,False,False,False,False,False,False,True,False
1000,3022.0,110.0,360.0,1.0,362,56,0.11,True,True,True,False,False,False,True,False,True,False
3167,4000.0,180.0,300.0,0.0,368,21,0.0568361225134196,True,True,False,False,True,False,False,True,False,False
3333,2166.0,130.0,360.0,1.0,748,39,0.039003900390039,True,True,False,False,True,True,True,True,False,True
3846,0.0,111.0,360.0,1.0,755,27,0.0288611544461778,False,False,False,False,False,False,False,True,False,True
2395,0.0,146.41216216216216,360.0,1.0,599,44,0.0611324267900468,True,True,True,False,False,False,True,True,False,True
